"","species","week","density"
"Allen's Hummingbird29","Allen's Hummingbird",29,0.0199935400943783
"Allen's Hummingbird30","Allen's Hummingbird",30,0.0174217110517811
"Allen's Hummingbird31","Allen's Hummingbird",31,0.0150556497033823
"Allen's Hummingbird32","Allen's Hummingbird",32,0.0129177601256358
"Allen's Hummingbird33","Allen's Hummingbird",33,0.0110177666804302
"Allen's Hummingbird34","Allen's Hummingbird",34,0.00935380093053633
"Allen's Hummingbird35","Allen's Hummingbird",35,0.00791427004484721
"Allen's Hummingbird36","Allen's Hummingbird",36,0.00668033071114147
"Allen's Hummingbird37","Allen's Hummingbird",37,0.00562868510860663
"Allen's Hummingbird38","Allen's Hummingbird",38,0.00473433826806017
"Allen's Hummingbird39","Allen's Hummingbird",39,0.0039729631815501
"Allen's Hummingbird40","Allen's Hummingbird",40,0.00332262934636355
"Allen's Hummingbird41","Allen's Hummingbird",41,0.00276480517275847
"Allen's Hummingbird42","Allen's Hummingbird",42,0.00228467825585109
"Allen's Hummingbird43","Allen's Hummingbird",43,0.00187092678173995
"Allen's Hummingbird44","Allen's Hummingbird",44,0.00151512305325047
"Allen's Hummingbird45","Allen's Hummingbird",45,0.0012109607159865
"Allen's Hummingbird46","Allen's Hummingbird",46,0.000953475614407198
"Allen's Hummingbird47","Allen's Hummingbird",47,0.000738385599898664
"Allen's Hummingbird48","Allen's Hummingbird",48,0.000561619725306536
"Allen's Hummingbird49","Allen's Hummingbird",49,0.000419054562944196
"Allen's Hummingbird50","Allen's Hummingbird",50,0.00030643425743641
"Allen's Hummingbird51","Allen's Hummingbird",51,0.000219426284865852
"Allen's Hummingbird52","Allen's Hummingbird",52,0.000153311152220693
"American Bittern1","American Bittern",1,0.0165467548669146
"American Bittern2","American Bittern",2,0.0180621744581656
"American Bittern3","American Bittern",3,0.019379836465863
"American Bittern4","American Bittern",4,0.0204551976992151
"American Bittern5","American Bittern",5,0.0212620605120086
"American Bittern6","American Bittern",6,0.0217896302426104
"American Bittern7","American Bittern",7,0.0220421652565597
"American Bittern8","American Bittern",8,0.0220377151872426
"American Bittern9","American Bittern",9,0.0218063087876362
"American Bittern10","American Bittern",10,0.021387863383882
"American Bittern11","American Bittern",11,0.0208299480635777
"American Bittern12","American Bittern",12,0.0201853968214778
"American Bittern13","American Bittern",13,0.0195096898409832
"American Bittern14","American Bittern",14,0.0188580307314781
"American Bittern15","American Bittern",15,0.0182821376554769
"American Bittern16","American Bittern",16,0.0178268981732291
"American Bittern17","American Bittern",17,0.0175271633185902
"American Bittern18","American Bittern",18,0.0174050428939124
"American Bittern19","American Bittern",19,0.0174680917076097
"American Bittern20","American Bittern",20,0.0177087136459288
"American Bittern21","American Bittern",21,0.0181049348959296
"American Bittern22","American Bittern",22,0.0186224718691516
"American Bittern23","American Bittern",23,0.019217859430868
"American Bittern24","American Bittern",24,0.0198423460958189
"American Bittern25","American Bittern",25,0.0204462467918985
"American Bittern26","American Bittern",26,0.0209834190454572
"American Bittern27","American Bittern",27,0.0214154899455072
"American Bittern28","American Bittern",28,0.0217154275905919
"American Bittern29","American Bittern",29,0.0218700470409367
"American Bittern30","American Bittern",30,0.0218810934164806
"American Bittern31","American Bittern",31,0.0217646717680563
"American Bittern32","American Bittern",32,0.0215489912269775
"American Bittern33","American Bittern",33,0.0212706278585077
"American Bittern34","American Bittern",34,0.0209697357949278
"American Bittern35","American Bittern",35,0.0206848048095914
"American Bittern36","American Bittern",36,0.0204476510489542
"American Bittern37","American Bittern",37,0.0202793115784076
"American Bittern38","American Bittern",38,0.0201873557445873
"American Bittern39","American Bittern",39,0.0201648494337795
"American Bittern40","American Bittern",40,0.0201909333882185
"American Bittern41","American Bittern",41,0.020232809990972
"American Bittern42","American Bittern",42,0.0202488710617205
"American Bittern43","American Bittern",43,0.0201926822244491
"American Bittern44","American Bittern",44,0.02001752144886
"American Bittern45","American Bittern",45,0.0196811301847571
"American Bittern46","American Bittern",46,0.0191502754567972
"American Bittern47","American Bittern",47,0.0184046623833169
"American Bittern48","American Bittern",48,0.0174397176425387
"American Bittern49","American Bittern",49,0.0162678238847827
"American Bittern50","American Bittern",50,0.0149177389715832
"American Bittern51","American Bittern",51,0.0134321639345311
"American Bittern52","American Bittern",52,0.0118643507755824
"American coot1","American coot",1,0.00431882959434119
"American coot2","American coot",2,0.0050910039108983
"American coot3","American coot",3,0.00596994799387007
"American coot4","American coot",4,0.00697101141562595
"American coot5","American coot",5,0.00810316913898909
"American coot6","American coot",6,0.0093680478434415
"American coot7","American coot",7,0.0107565104502174
"American coot8","American coot",8,0.0122459080166281
"American coot9","American coot",9,0.0137986739899731
"American coot10","American coot",10,0.0153628206674734
"American coot11","American coot",11,0.0168746400996671
"American coot12","American coot",12,0.0182635477731294
"American coot13","American coot",13,0.0194586048693427
"American coot14","American coot",14,0.0203958997340747
"American coot15","American coot",15,0.0210257457875066
"American coot16","American coot",16,0.0213186183870298
"American coot17","American coot",17,0.0212689131826883
"American coot18","American coot",18,0.0208959208331249
"American coot19","American coot",19,0.0202418326480973
"American coot20","American coot",20,0.0193670994927012
"American coot21","American coot",21,0.018343982042249
"American coot22","American coot",22,0.0172494507910117
"American coot23","American coot",23,0.0161585733346067
"American coot24","American coot",24,0.0151392439132058
"American coot25","American coot",25,0.014248735907666
"American coot26","American coot",26,0.0135321867562233
"American coot27","American coot",27,0.0130227953341659
"American coot28","American coot",28,0.0127432629521535
"American coot29","American coot",29,0.012707875980767
"American coot30","American coot",30,0.0129246214986587
"American coot31","American coot",31,0.0133968296323438
"American coot32","American coot",32,0.0141240107504556
"American coot33","American coot",33,0.0151017602026927
"American coot34","American coot",34,0.0163208032198643
"American coot35","American coot",35,0.0177654276356155
"American coot36","American coot",36,0.0194116849351494
"American coot37","American coot",37,0.0212257954668944
"American coot38","American coot",38,0.0231631395406832
"American coot39","American coot",39,0.0251680845882415
"American coot40","American coot",40,0.0271747689067935
"American coot41","American coot",41,0.0291088713507035
"American coot42","American coot",42,0.0308903267345892
"American coot43","American coot",43,0.0324368849932313
"American coot44","American coot",44,0.0336683605261646
"American coot45","American coot",45,0.0345113728522646
"American coot46","American coot",46,0.0349043262152772
"American coot47","American coot",47,0.0348023026364352
"American coot48","American coot",48,0.0341814553178535
"American coot49","American coot",49,0.0330424121955097
"American coot50","American coot",50,0.0314121667320019
"American coot51","American coot",51,0.0293439702528703
"American coot52","American coot",52,0.0269217366947991
"American crow1","American crow",1,0.00143494551918378
"American crow2","American crow",2,0.00175926584365405
"American crow3","American crow",3,0.00217006512997151
"American crow4","American crow",4,0.00269882350924546
"American crow5","American crow",5,0.00338092125857046
"American crow6","American crow",6,0.00425536958586599
"American crow7","American crow",7,0.00536155149193361
"American crow8","American crow",8,0.00673466627348825
"American crow9","American crow",9,0.00840017153117991
"American crow10","American crow",10,0.0103677995259316
"American crow11","American crow",11,0.012625974907556
"American crow12","American crow",12,0.0151376104815691
"American crow13","American crow",13,0.0178382466538071
"American crow14","American crow",14,0.0206372946506418
"American crow15","American crow",15,0.0234227540577522
"American crow16","American crow",16,0.0260692629432761
"American crow17","American crow",17,0.0284487949543871
"American crow18","American crow",18,0.0304428166617115
"American crow19","American crow",19,0.031954309793891
"American crow20","American crow",20,0.0329178654097508
"American crow21","American crow",21,0.0333062796656571
"American crow22","American crow",22,0.0331327591491124
"American crow23","American crow",23,0.0324486748541276
"American crow24","American crow",24,0.0313374668066562
"American crow25","American crow",25,0.0299057299900515
"American crow26","American crow",26,0.0282727527165002
"American crow27","American crow",27,0.0265598330162629
"American crow28","American crow",28,0.0248805588583617
"American crow29","American crow",29,0.0233329420071161
"American crow30","American crow",30,0.0219939193967575
"American crow31","American crow",31,0.0209163610861558
"American crow32","American crow",32,0.0201284118460845
"American crow33","American crow",33,0.0196347796421057
"American crow34","American crow",34,0.0194194811264871
"American crow35","American crow",35,0.0194495505504828
"American crow36","American crow",36,0.0196792695238891
"American crow37","American crow",37,0.0200545187626728
"American crow38","American crow",38,0.0205168797993036
"American crow39","American crow",39,0.0210071879874357
"American crow40","American crow",40,0.0214683868318693
"American crow41","American crow",41,0.0218476945428893
"American crow42","American crow",42,0.0220982027086767
"American crow43","American crow",43,0.0221800781791699
"American crow44","American crow",44,0.0220615464414966
"American crow45","American crow",45,0.0217197999880417
"American crow46","American crow",46,0.0211418979205055
"American crow47","American crow",47,0.0203256152802425
"American crow48","American crow",48,0.0192800893777991
"American crow49","American crow",49,0.0180260297267963
"American crow50","American crow",50,0.0165952358523497
"American crow51","American crow",51,0.0150292142729234
"American crow52","American crow",52,0.0133776673626158
"American Kestrel1","American Kestrel",1,0.0231523022242703
"American Kestrel2","American Kestrel",2,0.0252924379234144
"American Kestrel3","American Kestrel",3,0.0271170863037775
"American Kestrel4","American Kestrel",4,0.0285497091125403
"American Kestrel5","American Kestrel",5,0.0295432873708013
"American Kestrel6","American Kestrel",6,0.0300769748526138
"American Kestrel7","American Kestrel",7,0.0301561227736538
"American Kestrel8","American Kestrel",8,0.0298099120134276
"American Kestrel9","American Kestrel",9,0.0290871019353667
"American Kestrel10","American Kestrel",10,0.0280505500026145
"American Kestrel11","American Kestrel",11,0.0267712041122628
"American Kestrel12","American Kestrel",12,0.025322225219808
"American Kestrel13","American Kestrel",13,0.0237737867493074
"American Kestrel14","American Kestrel",14,0.0221889500430563
"American Kestrel15","American Kestrel",15,0.0206208553704453
"American Kestrel16","American Kestrel",16,0.0191113107430751
"American Kestrel17","American Kestrel",17,0.0176907173040515
"American Kestrel18","American Kestrel",18,0.0163791511380148
"American Kestrel19","American Kestrel",19,0.0151883301525792
"American Kestrel20","American Kestrel",20,0.0141241216207321
"American Kestrel21","American Kestrel",21,0.0131891910927607
"American Kestrel22","American Kestrel",22,0.0123853883482079
"American Kestrel23","American Kestrel",23,0.0117155374150061
"American Kestrel24","American Kestrel",24,0.0111844239168702
"American Kestrel25","American Kestrel",25,0.0107989119160494
"American Kestrel26","American Kestrel",26,0.0105672513990304
"American Kestrel27","American Kestrel",27,0.0104977494890732
"American Kestrel28","American Kestrel",28,0.0105970649662373
"American Kestrel29","American Kestrel",29,0.0108684349141042
"American Kestrel30","American Kestrel",30,0.0113101443373544
"American Kestrel31","American Kestrel",31,0.0119145006301701
"American Kestrel32","American Kestrel",32,0.012667480006405
"American Kestrel33","American Kestrel",33,0.0135490882483734
"American Kestrel34","American Kestrel",34,0.0145343481022591
"American Kestrel35","American Kestrel",35,0.0155947151897554
"American Kestrel36","American Kestrel",36,0.0166996474542812
"American Kestrel37","American Kestrel",37,0.0178180191267871
"American Kestrel38","American Kestrel",38,0.0189191032972426
"American Kestrel39","American Kestrel",39,0.0199729694941279
"American Kestrel40","American Kestrel",40,0.0209503249513705
"American Kestrel41","American Kestrel",41,0.0218220012306513
"American Kestrel42","American Kestrel",42,0.022558402111317
"American Kestrel43","American Kestrel",43,0.0231292686393208
"American Kestrel44","American Kestrel",44,0.0235040792768096
"American Kestrel45","American Kestrel",45,0.0236532891217082
"American Kestrel46","American Kestrel",46,0.0235504370887889
"American Kestrel47","American Kestrel",47,0.0231749444907485
"American Kestrel48","American Kestrel",48,0.0225152344375317
"American Kestrel49","American Kestrel",49,0.0215716624279051
"American Kestrel50","American Kestrel",50,0.0203586971953143
"American Kestrel51","American Kestrel",51,0.0189058381370805
"American Kestrel52","American Kestrel",52,0.0172605405676141
"American oystercatcher1","American oystercatcher",1,0.00896344042585724
"American oystercatcher2","American oystercatcher",2,0.0101448147293218
"American oystercatcher3","American oystercatcher",3,0.0113266112010023
"American oystercatcher4","American oystercatcher",4,0.0124898419628076
"American oystercatcher5","American oystercatcher",5,0.0136172722460671
"American oystercatcher6","American oystercatcher",6,0.0146945840990984
"American oystercatcher7","American oystercatcher",7,0.0157107582190035
"American oystercatcher8","American oystercatcher",8,0.0166583267407973
"American oystercatcher9","American oystercatcher",9,0.0175335508946001
"American oystercatcher10","American oystercatcher",10,0.0183365187418081
"American oystercatcher11","American oystercatcher",11,0.0190710970891443
"American oystercatcher12","American oystercatcher",12,0.0197446320365445
"American oystercatcher13","American oystercatcher",13,0.0203672935620266
"American oystercatcher14","American oystercatcher",14,0.0209510083783198
"American oystercatcher15","American oystercatcher",15,0.0215080134257418
"American oystercatcher16","American oystercatcher",16,0.0220491672041373
"American oystercatcher17","American oystercatcher",17,0.0225822490092263
"American oystercatcher18","American oystercatcher",18,0.0231105315473037
"American oystercatcher19","American oystercatcher",19,0.0236319098293756
"American oystercatcher20","American oystercatcher",20,0.0241387903859164
"American oystercatcher21","American oystercatcher",21,0.0246187908965874
"American oystercatcher22","American oystercatcher",22,0.0250561196869365
"American oystercatcher23","American oystercatcher",23,0.0254333690524744
"American oystercatcher24","American oystercatcher",24,0.0257334028328147
"American oystercatcher25","American oystercatcher",25,0.0259410418082883
"American oystercatcher26","American oystercatcher",26,0.0260443329125274
"American oystercatcher27","American oystercatcher",27,0.0260353079285445
"American oystercatcher28","American oystercatcher",28,0.0259102623876583
"American oystercatcher29","American oystercatcher",29,0.0256696805417033
"American oystercatcher30","American oystercatcher",30,0.0253179723814514
"American oystercatcher31","American oystercatcher",31,0.0248631677202305
"American oystercatcher32","American oystercatcher",32,0.0243166439327316
"American oystercatcher33","American oystercatcher",33,0.0236928743340323
"American oystercatcher34","American oystercatcher",34,0.0230091024588637
"American oystercatcher35","American oystercatcher",35,0.0222847991523172
"American oystercatcher36","American oystercatcher",36,0.0215407662185842
"American oystercatcher37","American oystercatcher",37,0.0207978236443776
"American oystercatcher38","American oystercatcher",38,0.0200751361390978
"American oystercatcher39","American oystercatcher",39,0.0193883474181431
"American oystercatcher40","American oystercatcher",40,0.0187477619482255
"American oystercatcher41","American oystercatcher",41,0.0181568457884208
"American oystercatcher42","American oystercatcher",42,0.0176113167606087
"American oystercatcher43","American oystercatcher",43,0.01709905156019
"American oystercatcher44","American oystercatcher",44,0.0166009480793956
"American oystercatcher45","American oystercatcher",45,0.0160927535385079
"American oystercatcher46","American oystercatcher",46,0.0155477218790786
"American oystercatcher47","American oystercatcher",47,0.0149398210828959
"American oystercatcher48","American oystercatcher",48,0.0142470981807385
"American oystercatcher49","American oystercatcher",49,0.0134547503145036
"American oystercatcher50","American oystercatcher",50,0.0125574596303561
"American oystercatcher51","American oystercatcher",51,0.011560628336508
"American oystercatcher52","American oystercatcher",52,0.0104818069081317
"Anna's Hummingbird1","Anna's Hummingbird",1,0.00297410885043641
"Anna's Hummingbird2","Anna's Hummingbird",2,0.00314131906265063
"Anna's Hummingbird3","Anna's Hummingbird",3,0.00326110674338938
"Anna's Hummingbird4","Anna's Hummingbird",4,0.00333112350875635
"Anna's Hummingbird5","Anna's Hummingbird",5,0.00335346274506015
"Anna's Hummingbird6","Anna's Hummingbird",6,0.00333296875851198
"Anna's Hummingbird7","Anna's Hummingbird",7,0.00327646256287216
"Anna's Hummingbird8","Anna's Hummingbird",8,0.00319191250745815
"Anna's Hummingbird9","Anna's Hummingbird",9,0.00308771307554226
"Anna's Hummingbird10","Anna's Hummingbird",10,0.00297220673731539
"Anna's Hummingbird11","Anna's Hummingbird",11,0.00285353766013708
"Anna's Hummingbird12","Anna's Hummingbird",12,0.00273987139402816
"Anna's Hummingbird13","Anna's Hummingbird",13,0.00263996070095674
"Anna's Hummingbird14","Anna's Hummingbird",14,0.00256399053397693
"Anna's Hummingbird15","Anna's Hummingbird",15,0.00252459616867857
"Anna's Hummingbird16","Anna's Hummingbird",16,0.00253791492866181
"Anna's Hummingbird17","Anna's Hummingbird",17,0.00262449956839923
"Anna's Hummingbird18","Anna's Hummingbird",18,0.00280989095721846
"Anna's Hummingbird19","Anna's Hummingbird",19,0.00312463427547855
"Anna's Hummingbird20","Anna's Hummingbird",20,0.0036035513982903
"Anna's Hummingbird21","Anna's Hummingbird",21,0.00428415904053125
"Anna's Hummingbird22","Anna's Hummingbird",22,0.00520422477196517
"Anna's Hummingbird23","Anna's Hummingbird",23,0.00639856519711885
"Anna's Hummingbird24","Anna's Hummingbird",24,0.00789531898135639
"Anna's Hummingbird25","Anna's Hummingbird",25,0.00971206469098397
"Anna's Hummingbird26","Anna's Hummingbird",26,0.0118522622039376
"Anna's Hummingbird27","Anna's Hummingbird",27,0.0143025346307744
"Anna's Hummingbird28","Anna's Hummingbird",28,0.0170312517102634
"Anna's Hummingbird29","Anna's Hummingbird",29,0.019988726204963
"Anna's Hummingbird30","Anna's Hummingbird",30,0.0231091152736192
"Anna's Hummingbird31","Anna's Hummingbird",31,0.0263138709422876
"Anna's Hummingbird32","Anna's Hummingbird",32,0.0295163598474694
"Anna's Hummingbird33","Anna's Hummingbird",33,0.0326271217763405
"Anna's Hummingbird34","Anna's Hummingbird",34,0.035559186325722
"Anna's Hummingbird35","Anna's Hummingbird",35,0.0382329033349709
"Anna's Hummingbird36","Anna's Hummingbird",36,0.0405798226981771
"Anna's Hummingbird37","Anna's Hummingbird",37,0.0425452723947179
"Anna's Hummingbird38","Anna's Hummingbird",38,0.0440894741661053
"Anna's Hummingbird39","Anna's Hummingbird",39,0.0451872961792709
"Anna's Hummingbird40","Anna's Hummingbird",40,0.0458269557611656
"Anna's Hummingbird41","Anna's Hummingbird",41,0.0460080703230802
"Anna's Hummingbird42","Anna's Hummingbird",42,0.0457394485031881
"Anna's Hummingbird43","Anna's Hummingbird",43,0.0450369800327362
"Anna's Hummingbird44","Anna's Hummingbird",44,0.0439219352044748
"Anna's Hummingbird45","Anna's Hummingbird",45,0.0424199065649032
"Anna's Hummingbird46","Anna's Hummingbird",46,0.0405605057470294
"Anna's Hummingbird47","Anna's Hummingbird",47,0.0383777735199164
"Anna's Hummingbird48","Anna's Hummingbird",48,0.0359110935749819
"Anna's Hummingbird49","Anna's Hummingbird",49,0.0332062537300123
"Anna's Hummingbird50","Anna's Hummingbird",50,0.0303162068801551
"Anna's Hummingbird51","Anna's Hummingbird",51,0.0273010736214635
"Anna's Hummingbird52","Anna's Hummingbird",52,0.0242267375387398
"Bald Eagle1","Bald Eagle",1,0.0154812683443555
"Bald Eagle2","Bald Eagle",2,0.0170930407069719
"Bald Eagle3","Bald Eagle",3,0.0185482175759491
"Bald Eagle4","Bald Eagle",4,0.0198035595221774
"Bald Eagle5","Bald Eagle",5,0.0208343784205423
"Bald Eagle6","Bald Eagle",6,0.0216330884103567
"Bald Eagle7","Bald Eagle",7,0.0222083319671587
"Bald Eagle8","Bald Eagle",8,0.0225821703555049
"Bald Eagle9","Bald Eagle",9,0.0227858830585263
"Bald Eagle10","Bald Eagle",10,0.0228551121725741
"Bald Eagle11","Bald Eagle",11,0.0228251435112595
"Bald Eagle12","Bald Eagle",12,0.0227270227530942
"Bald Eagle13","Bald Eagle",13,0.0225849875192691
"Bald Eagle14","Bald Eagle",14,0.02241540871134
"Bald Eagle15","Bald Eagle",15,0.0222271428374753
"Bald Eagle16","Bald Eagle",16,0.022022963000547
"Bald Eagle17","Bald Eagle",17,0.0218016021217655
"Bald Eagle18","Bald Eagle",18,0.0215599209879883
"Bald Eagle19","Bald Eagle",19,0.0212947909613719
"Bald Eagle20","Bald Eagle",20,0.0210044281282125
"Bald Eagle21","Bald Eagle",21,0.0206890987834738
"Bald Eagle22","Bald Eagle",22,0.0203512875527793
"Bald Eagle23","Bald Eagle",23,0.019995524399518
"Bald Eagle24","Bald Eagle",24,0.0196280814205292
"Bald Eagle25","Bald Eagle",25,0.0192566947002683
"Bald Eagle26","Bald Eagle",26,0.0188903783769513
"Bald Eagle27","Bald Eagle",27,0.0185393111802544
"Bald Eagle28","Bald Eagle",28,0.0182147143920942
"Bald Eagle29","Bald Eagle",29,0.0179286173990357
"Bald Eagle30","Bald Eagle",30,0.0176934224382453
"Bald Eagle31","Bald Eagle",31,0.0175212222918372
"Bald Eagle32","Bald Eagle",32,0.017422876875585
"Bald Eagle33","Bald Eagle",33,0.0174069024096886
"Bald Eagle34","Bald Eagle",34,0.017478264119667
"Bald Eagle35","Bald Eagle",35,0.017637193893979
"Bald Eagle36","Bald Eagle",36,0.0178781812362322
"Bald Eagle37","Bald Eagle",37,0.0181892957784856
"Bald Eagle38","Bald Eagle",38,0.0185519716052244
"Bald Eagle39","Bald Eagle",39,0.0189413250521932
"Bald Eagle40","Bald Eagle",40,0.0193270211261864
"Bald Eagle41","Bald Eagle",41,0.019674661538132
"Bald Eagle42","Bald Eagle",42,0.0199476271732605
"Bald Eagle43","Bald Eagle",43,0.0201092652456299
"Bald Eagle44","Bald Eagle",44,0.0201252761466481
"Bald Eagle45","Bald Eagle",45,0.0199661349157032
"Bald Eagle46","Bald Eagle",46,0.0196093758015339
"Bald Eagle47","Bald Eagle",47,0.0190415690519812
"Bald Eagle48","Bald Eagle",48,0.0182598223773351
"Bald Eagle49","Bald Eagle",49,0.0172726467415253
"Bald Eagle50","Bald Eagle",50,0.0161000427587153
"Bald Eagle51","Bald Eagle",51,0.0147726956667684
"Bald Eagle52","Bald Eagle",52,0.0133320174203568
"Barn Owl1","Barn Owl",1,0.0087491177201126
"Barn Owl2","Barn Owl",2,0.00955181063919721
"Barn Owl3","Barn Owl",3,0.010276159353489
"Barn Owl4","Barn Owl",4,0.0109164150077906
"Barn Owl5","Barn Owl",5,0.0114791684194091
"Barn Owl6","Barn Owl",6,0.0119805172297998
"Barn Owl7","Barn Owl",7,0.0124436977873818
"Barn Owl8","Barn Owl",8,0.0128958936793721
"Barn Owl9","Barn Owl",9,0.0133647562251052
"Barn Owl10","Barn Owl",10,0.0138751740580418
"Barn Owl11","Barn Owl",11,0.0144467253125388
"Barn Owl12","Barn Owl",12,0.0150920640587516
"Barn Owl13","Barn Owl",13,0.0158162829617292
"Barn Owl14","Barn Owl",14,0.0166171129007943
"Barn Owl15","Barn Owl",15,0.0174857118523904
"Barn Owl16","Barn Owl",16,0.0184077800121912
"Barn Owl17","Barn Owl",17,0.0193648068649933
"Barn Owl18","Barn Owl",18,0.0203353709098125
"Barn Owl19","Barn Owl",19,0.0212965148335506
"Barn Owl20","Barn Owl",20,0.0222252514430987
"Barn Owl21","Barn Owl",21,0.0231002027603884
"Barn Owl22","Barn Owl",22,0.0239032706354768
"Barn Owl23","Barn Owl",23,0.0246211285502821
"Barn Owl24","Barn Owl",24,0.0252462472877671
"Barn Owl25","Barn Owl",25,0.0257771602195243
"Barn Owl26","Barn Owl",26,0.0262177689530531
"Barn Owl27","Barn Owl",27,0.0265756828004539
"Barn Owl28","Barn Owl",28,0.0268598274745554
"Barn Owl29","Barn Owl",29,0.0270777751720052
"Barn Owl30","Barn Owl",30,0.0272333672275631
"Barn Owl31","Barn Owl",31,0.0273251762810807
"Barn Owl32","Barn Owl",32,0.0273461848309276
"Barn Owl33","Barn Owl",33,0.027284783306489
"Barn Owl34","Barn Owl",34,0.0271268848272597
"Barn Owl35","Barn Owl",35,0.0268586891948044
"Barn Owl36","Barn Owl",36,0.0264694633893852
"Barn Owl37","Barn Owl",37,0.0259536901001342
"Barn Owl38","Barn Owl",38,0.0253121047704986
"Barn Owl39","Barn Owl",39,0.0245514564770576
"Barn Owl40","Barn Owl",40,0.0236831635166146
"Barn Owl41","Barn Owl",41,0.0227212772107243
"Barn Owl42","Barn Owl",42,0.0216802802594941
"Barn Owl43","Barn Owl",43,0.020573234206506
"Barn Owl44","Barn Owl",44,0.0194106691046824
"Barn Owl45","Barn Owl",45,0.0182004078867756
"Barn Owl46","Barn Owl",46,0.0169482877211699
"Barn Owl47","Barn Owl",47,0.0156595360731466
"Barn Owl48","Barn Owl",48,0.0143404250217746
"Barn Owl49","Barn Owl",49,0.0129997869361908
"Barn Owl50","Barn Owl",50,0.0116500261483369
"Barn Owl51","Barn Owl",51,0.0103073818673402
"Barn Owl52","Barn Owl",52,0.00899011581492292
"California Quail1","California Quail",1,0.00511656092553164
"California Quail2","California Quail",2,0.00584887520425453
"California Quail3","California Quail",3,0.00662710120679251
"California Quail4","California Quail",4,0.00746282683143634
"California Quail5","California Quail",5,0.00837185142920832
"California Quail6","California Quail",6,0.00937383653127199
"California Quail7","California Quail",7,0.0104897504906588
"California Quail8","California Quail",8,0.0117384013033934
"California Quail9","California Quail",9,0.0131324743808473
"California Quail10","California Quail",10,0.0146746471726595
"California Quail11","California Quail",11,0.0163544258192466
"California Quail12","California Quail",12,0.0181463129468336
"California Quail13","California Quail",13,0.0200097637788981
"California Quail14","California Quail",14,0.0218911378398476
"California Quail15","California Quail",15,0.0237275475172376
"California Quail16","California Quail",16,0.0254522009145382
"California Quail17","California Quail",17,0.0270005904328532
"California Quail18","California Quail",18,0.0283167192692586
"California Quail19","California Quail",19,0.0293584930874468
"California Quail20","California Quail",20,0.0301014721538942
"California Quail21","California Quail",21,0.0305404472779491
"California Quail22","California Quail",22,0.0306887331352755
"California Quail23","California Quail",23,0.0305754836038538
"California Quail24","California Quail",24,0.0302415872644748
"California Quail25","California Quail",25,0.0297348038730204
"California Quail26","California Quail",26,0.0291048035300113
"California Quail27","California Quail",27,0.0283986880712419
"California Quail28","California Quail",28,0.027657421794843
"California Quail29","California Quail",29,0.0269134074755698
"California Quail30","California Quail",30,0.0261892550315688
"California Quail31","California Quail",31,0.0254976385156253
"California Quail32","California Quail",32,0.024842040494677
"California Quail33","California Quail",33,0.0242181430155497
"California Quail34","California Quail",34,0.023615630227791
"California Quail35","California Quail",35,0.0230201989148251
"California Quail36","California Quail",36,0.0224156036712203
"California Quail37","California Quail",37,0.0217855768155543
"California Quail38","California Quail",38,0.0211154721475093
"California Quail39","California Quail",39,0.0203935137517158
"California Quail40","California Quail",40,0.0196115875584352
"California Quail41","California Quail",41,0.018765572111993
"California Quail42","California Quail",42,0.0178552551589727
"California Quail43","California Quail",43,0.016883926665334
"California Quail44","California Quail",44,0.0158577735242488
"California Quail45","California Quail",45,0.0147852157121913
"California Quail46","California Quail",46,0.0136763095177071
